symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
INTC,2017-04-21,191,0,36.32,6937.12,6937.12,0.0,-45.84
GE,2017-04-21,36,0,177.45,6388.04,6388.04,0.0,-470.32
AMD,2017-04-21,2099,0,13.0,27287.0,27287.0,0.0,3400.38
COHU,2017-04-21,1229,0,18.92,23252.68,23252.68,0.0,6378.51
MSFT,2017-04-21,111,0,66.4,7370.4,7370.4,0.0,440.67
TXN,2017-04-21,95,0,79.81,7581.95,7581.95,0.0,589.0
CGNX,2017-04-21,537,0,41.27,22161.99,22161.99,0.0,4999.47
IBM,2017-04-24,44,0,153.68,6761.95,6761.95,0.0,-330.57
HPQ,2017-04-24,480,0,18.54,8899.2,8899.2,0.0,1684.8
INTC,2017-04-24,191,0,36.75,7019.25,7019.25,0.0,36.29
GE,2017-04-24,36,0,177.45,6388.04,6388.04,0.0,-470.32
AMD,2017-04-24,2099,0,13.13,27559.87,27559.87,0.0,3673.25
COHU,2017-04-24,1229,0,19.13,23510.77,23510.77,0.0,6636.6
MSFT,2017-04-24,111,0,67.53,7495.83,7495.83,0.0,566.1
TXN,2017-04-24,95,0,81.08,7702.6,7702.6,0.0,709.65
CGNX,2017-04-24,537,0,42.28,22704.36,22704.36,0.0,5541.84
IBM,2017-04-25,44,0,153.34,6746.81,6746.81,0.0,-345.71
HPQ,2017-04-25,480,0,18.61,8932.8,8932.8,0.0,1718.4
INTC,2017-04-25,191,0,36.87,7042.17,7042.17,0.0,59.21
GE,2017-04-25,36,0,176.85,6366.42,6366.42,0.0,-491.94
AMD,2017-04-25,2099,0,13.49,28315.51,28315.51,0.0,4428.89
COHU,2017-04-25,1229,0,19.54,24014.66,24014.66,0.0,7140.49
MSFT,2017-04-25,111,0,67.92,7539.12,7539.12,0.0,609.39
TXN,2017-04-25,95,0,82.36,7824.2,7824.2,0.0,831.25
CGNX,2017-04-25,537,0,42.76,22964.8,22964.8,0.0,5802.28
IBM,2017-04-26,44,0,153.02,6732.93,6732.93,0.0,-359.59
HPQ,2017-04-26,480,0,18.63,8942.4,8942.4,0.0,1728.0
INTC,2017-04-26,191,0,36.93,7053.63,7053.63,0.0,70.67
GE,2017-04-26,36,0,175.7,6325.35,6325.35,0.0,-533.01
AMD,2017-04-26,2099,0,13.41,28147.59,28147.59,0.0,4260.97
COHU,2017-04-26,1229,0,19.68,24186.72,24186.72,0.0,7312.55
MSFT,2017-04-26,111,0,67.83,7529.13,7529.13,0.0,599.4
TXN,2017-04-26,95,0,81.11,7705.45,7705.45,0.0,712.5
CGNX,2017-04-26,537,0,42.29,22712.41,22712.41,0.0,5549.89
IBM,2017-04-27,44,0,153.27,6743.86,6743.86,0.0,-348.66
HPQ,2017-04-27,480,0,18.77,9009.6,9009.6,0.0,1795.2
INTC,2017-04-27,191,0,37.43,7149.13,7149.13,0.0,166.17
GE,2017-04-27,36,0,174.62,6286.43,6286.43,0.0,-571.93
AMD,2017-04-27,2099,0,13.62,28588.38,28588.38,0.0,4701.76
COHU,2017-04-27,1229,0,21.27,26140.83,26140.83,0.0,9266.66
MSFT,2017-04-27,111,0,68.27,7577.97,7577.97,0.0,648.24
TXN,2017-04-27,95,0,80.8,7676.0,7676.0,0.0,683.05
CGNX,2017-04-27,537,0,42.88,23026.56,23026.56,0.0,5864.04
IBM,2017-04-28,44,0,153.24,6742.6,6742.6,0.0,-349.92
HPQ,2017-04-28,480,0,18.82,9033.6,9033.6,0.0,1819.2
INTC,2017-04-28,191,0,36.15,6904.65,6904.65,0.0,-78.31
GE,2017-04-28,36,0,174.08,6266.98,6266.98,0.0,-591.38
AMD,2017-04-28,2099,0,13.3,27916.7,27916.7,0.0,4030.08
COHU,2017-04-28,1229,0,18.73,23019.17,23019.17,0.0,6145.0
MSFT,2017-04-28,111,0,68.46,7599.06,7599.06,0.0,669.33
TXN,2017-04-28,95,0,79.18,7522.1,7522.1,0.0,529.15
CGNX,2017-04-28,537,0,42.67,22913.79,22913.79,0.0,5751.27
IBM,2017-05-01,44,0,151.85,6681.61,6681.61,0.0,-410.91
HPQ,2017-05-01,480,0,18.93,9086.4,9086.4,0.0,1872.0
INTC,2017-05-01,191,0,36.31,6935.21,6935.21,0.0,-47.75
GE,2017-05-01,36,0,173.78,6256.17,6256.17,0.0,-602.19
AMD,2017-05-01,2099,0,13.62,28588.38,28588.38,0.0,4701.76
COHU,2017-05-01,1229,0,20.41,25083.89,25083.89,0.0,8209.72
MSFT,2017-05-01,111,0,69.41,7704.51,7704.51,0.0,774.78
TXN,2017-05-01,95,0,79.29,7532.55,7532.55,0.0,539.6
CGNX,2017-05-01,537,0,42.81,22991.65,22991.65,0.0,5829.13
IBM,2017-05-02,44,0,152.1,6692.54,6692.54,0.0,-399.98
HPQ,2017-05-02,480,0,18.9,9072.0,9072.0,0.0,1857.6
INTC,2017-05-02,191,0,36.97,7061.27,7061.27,0.0,78.31
GE,2017-05-02,36,0,174.08,6266.98,6266.98,0.0,-591.38
AMD,2017-05-02,2099,0,10.32,21661.68,21661.68,0.0,-2224.94
COHU,2017-05-02,1229,0,19.9,24457.1,24457.1,0.0,7582.93
MSFT,2017-05-02,111,0,69.3,7692.3,7692.3,0.0,762.57
TXN,2017-05-02,95,0,79.25,7528.75,7528.75,0.0,535.8
CGNX,2017-05-02,537,0,45.11,24224.07,24224.07,0.0,7061.55
IBM,2017-05-03,44,0,151.65,6672.77,6672.77,0.0,-419.75
HPQ,2017-05-03,480,0,18.81,9028.8,9028.8,0.0,1814.4
INTC,2017-05-03,191,0,36.98,7063.18,7063.18,0.0,80.22
GE,2017-05-03,36,0,175.52,6318.86,6318.86,0.0,-539.5
AMD,2017-05-03,2099,0,10.39,21808.61,21808.61,0.0,-2078.01
COHU,2017-05-03,1229,0,19.24,23645.96,23645.96,0.0,6771.79
MSFT,2017-05-03,111,0,69.08,7667.88,7667.88,0.0,738.15
TXN,2017-05-03,95,0,79.77,7578.15,7578.15,0.0,585.2
CGNX,2017-05-03,537,0,44.37,23824.01,23824.01,0.0,6661.49
IBM,2017-05-04,44,0,152.06,6690.44,6690.44,0.0,-402.08
HPQ,2017-05-04,480,0,18.79,9019.2,9019.2,0.0,1804.8
INTC,2017-05-04,191,0,36.85,7038.35,7038.35,0.0,55.39
GE,2017-05-04,36,0,175.34,6312.38,6312.38,0.0,-545.98
AMD,2017-05-04,2099,0,10.1,21199.9,21199.9,0.0,-2686.72
COHU,2017-05-04,1229,0,19.64,24137.56,24137.56,0.0,7263.39
MSFT,2017-05-04,111,0,68.81,7637.91,7637.91,0.0,708.18
TXN,2017-05-04,95,0,79.3,7533.5,7533.5,0.0,540.55
CGNX,2017-05-04,537,0,44.31,23791.79,23791.79,0.0,6629.27
IBM,2017-05-05,44,0,148.23,6522.18,6522.18,0.0,-570.34
HPQ,2017-05-05,480,0,18.91,9076.8,9076.8,0.0,1862.4
INTC,2017-05-05,191,0,36.82,7032.62,7032.62,0.0,49.66
GE,2017-05-05,36,0,175.46,6316.7,6316.7,0.0,-541.66
AMD,2017-05-05,2099,0,10.19,21388.81,21388.81,0.0,-2497.81
COHU,2017-05-05,1229,0,19.0,23351.0,23351.0,0.0,6476.83
MSFT,2017-05-05,111,0,69.0,7659.0,7659.0,0.0,729.27
TXN,2017-05-05,95,0,79.63,7564.85,7564.85,0.0,571.9
CGNX,2017-05-05,537,0,45.0,24165.0,24165.0,0.0,7002.48
IBM,2017-05-08,44,0,146.3,6437.21,6437.21,0.0,-655.31
HPQ,2017-05-08,480,0,19.31,9268.8,9268.8,0.0,2054.4
INTC,2017-05-08,191,0,36.54,6979.14,6979.14,0.0,-3.82
GE,2017-05-08,36,0,174.56,6284.27,6284.27,0.0,-574.09
AMD,2017-05-08,2099,0,10.04,21073.96,21073.96,0.0,-2812.66
COHU,2017-05-08,1229,0,18.88,23203.52,23203.52,0.0,6329.35
MSFT,2017-05-08,111,0,68.94,7652.34,7652.34,0.0,722.61
TXN,2017-05-08,95,0,79.46,7548.7,7548.7,0.0,555.75
CGNX,2017-05-08,537,0,44.56,23926.04,23926.04,0.0,6763.52
IBM,2017-05-09,44,0,145.42,6398.51,6398.51,0.0,-694.01
HPQ,2017-05-09,480,0,19.24,9235.2,9235.2,0.0,2020.8
INTC,2017-05-09,191,0,36.37,6946.67,6946.67,0.0,-36.29
GE,2017-05-09,36,0,173.72,6254.01,6254.01,0.0,-604.35
AMD,2017-05-09,2099,0,10.18,21367.82,21367.82,0.0,-2518.8
COHU,2017-05-09,1229,0,19.02,23375.58,23375.58,0.0,6501.41
MSFT,2017-05-09,111,0,69.04,7663.44,7663.44,0.0,733.71
TXN,2017-05-09,95,0,79.45,7547.75,7547.75,0.0,554.8
CGNX,2017-05-09,537,0,44.68,23993.16,23993.16,0.0,6830.64
IBM,2017-05-10,44,0,144.6,6362.33,6362.33,0.0,-730.19
HPQ,2017-05-10,480,0,19.36,9292.8,9292.8,0.0,2078.4
INTC,2017-05-10,191,0,36.01,6877.91,6877.91,0.0,-105.05
GE,2017-05-10,36,0,172.34,6204.29,6204.29,0.0,-654.07
AMD,2017-05-10,2099,0,10.79,22648.21,22648.21,0.0,-1238.41
COHU,2017-05-10,1229,0,19.04,23400.16,23400.16,0.0,6525.99
MSFT,2017-05-10,111,0,69.31,7693.41,7693.41,0.0,763.68
