id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
308,long,INTC,2021-03-17,2022-09-12,65.0,31.48,1,-33.52,-51.57,2895.66,375,-0.09,
309,long,HPQ,2022-04-08,2022-09-13,39.22,27.26,1,-11.96,-30.49,2883.7,107,-0.11,
310,long,GE,2020-06-24,2022-09-15,41.9,54.47,1,12.57,30.0,2896.27,561,0.02,
311,long,GE,2020-06-26,2022-09-15,40.91,54.47,0,0.0,33.15,2896.27,559,0.0,
312,long,HPQ,2022-04-08,2022-09-16,39.22,26.95,1,-12.27,-31.29,2884.0,110,-0.11,
313,long,COHU,2020-01-03,2022-10-07,22.46,28.2,1,5.74,25.56,2889.74,696,0.01,
314,long,TXN,2020-01-03,2022-10-10,128.24,156.88,1,28.64,22.33,2918.38,697,0.04,
315,long,HPQ,2022-04-08,2022-10-12,39.22,24.82,1,-14.4,-36.72,2903.98,128,-0.11,
316,long,INTC,2021-03-17,2022-10-14,65.0,26.19,1,-38.81,-59.71,2865.17,399,-0.1,
317,long,HPQ,2022-04-08,2022-10-17,39.22,25.85,1,-13.37,-34.09,2851.8,131,-0.1,
318,long,COHU,2020-01-03,2022-10-21,22.46,29.01,2,13.1,29.16,2864.9,706,0.02,
319,long,HPQ,2022-04-08,2022-10-24,39.22,26.99,1,-12.23,-31.18,2852.67,136,-0.09,
320,long,COHU,2020-01-03,2022-10-24,22.46,29.53,1,7.07,31.48,2859.74,707,0.01,
321,long,GE,2020-06-26,2022-10-26,40.91,58.48,1,17.57,42.95,2877.31,588,0.03,
322,long,GE,2020-08-31,2022-10-26,40.44,58.48,1,18.04,44.61,2895.35,543,0.03,
323,long,GE,2020-11-02,2022-10-26,46.56,58.48,2,23.84,25.6,2919.19,499,0.05,
324,long,GE,2020-12-04,2022-10-26,66.95,58.48,0,0.0,-12.65,2919.19,476,0.0,
325,long,COHU,2020-01-03,2022-10-27,22.46,30.06,1,7.6,33.84,2926.79,710,0.01,
326,long,INTC,2021-03-17,2022-10-31,65.0,28.61,1,-36.39,-55.98,2890.4,410,-0.09,
327,long,COHU,2020-01-03,2022-10-31,22.46,33.17,4,42.84,47.68,2933.24,712,0.06,
328,long,COHU,2020-03-02,2022-10-31,20.41,33.17,0,0.0,62.52,2933.24,673,0.0,
329,long,HPQ,2022-04-08,2022-11-03,39.22,26.56,1,-12.66,-32.28,2920.58,144,-0.09,
