date,mva_qld_simple_60,mva_jesse_60,mva_old_tech_60
2020-07-21,0.3280329741377755,0.3500710229337356,0.3218960029284888
2020-07-22,0.32913572910239075,0.34741419774346494,0.3234500731541442
2020-07-23,0.3296608631594042,0.34573641353169665,0.324602723308899
2020-07-24,0.3306603791488839,0.3433954030709165,0.3259442177801998
2020-07-27,0.33012255862653034,0.34102955268572416,0.3288478886877454
2020-07-28,0.32756059415247757,0.3440048146298432,0.32843459121767926
2020-07-29,0.3263093462898244,0.3463071407173622,0.3273835129928133
2020-07-30,0.3266875693301337,0.34502203776323676,0.3282903929066294
2020-07-31,0.3267389819848201,0.34617544873412864,0.3270855692810514
2020-08-03,0.32647826057980267,0.34613865518044223,0.3273830842397551
2020-08-04,0.3287846641213407,0.34146505621482337,0.3297502796638359
2020-08-05,0.32878856948358115,0.34014875108493803,0.3310626794314807
2020-08-06,0.3299228284368466,0.33970452716168315,0.33037264440147035
2020-08-07,0.32720776548332736,0.34213497451836233,0.3306572599983103
2020-08-10,0.3255822237633438,0.3459289862726169,0.3284887899640394
2020-08-11,0.3232367806790881,0.3483617342074911,0.3284014851134208
2020-08-12,0.3265788757359812,0.34558957990159583,0.32783154436242307
2020-08-13,0.3275738893791749,0.34575812708696624,0.32666798353385895
2020-08-14,0.3278286609949589,0.34538369919083384,0.32678763981420733
2020-08-17,0.32820693539969265,0.34485031931505805,0.3269427452852492
2020-08-18,0.32905822740326335,0.34509423040030873,0.3258475421964278
2020-08-19,0.3298928213945721,0.34373340477315917,0.3263737738322688
2020-08-20,0.3337244313286056,0.3391725829572457,0.3271029857141488
2020-08-21,0.33394810488543936,0.3365550199601881,0.3294968751543726
2020-08-24,0.3331943179269216,0.3368986168151271,0.32990706525795127
2020-08-25,0.33384389230559347,0.3361553197998459,0.3300007878945606
2020-08-26,0.33679567905456365,0.3340967424104146,0.32910757853502176
2020-08-27,0.3394608978524384,0.33299640634757954,0.3275426957999822
2020-08-28,0.33903862297270093,0.3321946626098661,0.328766714417433
2020-08-31,0.3409620258380165,0.33194458388158543,0.32709339028039813
2020-09-01,0.34241048328737633,0.32966307754983953,0.32792643916278424
2020-09-02,0.33937505586596256,0.33069956059501476,0.32992538353902273
2020-09-03,0.33777141587890663,0.3332780681489895,0.32895051597210384
2020-09-04,0.33553097229549533,0.3353996358454998,0.3290693918590049
