id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
1,long,RVLV,2020-01-03,2020-01-07,18.46,19.22,3,2.28,4.12,2.28,2,1.14,
2,long,MSB,2020-01-03,2020-01-07,23.6,23.99,1,0.39,1.65,2.67,2,0.2,
3,long,EXPI,2020-01-03,2020-01-07,5.52,5.32,257,-51.4,-3.62,-48.73,2,-25.7,
4,long,INMD,2020-01-03,2020-01-08,18.19,18.86,5,3.35,3.68,-45.38,3,1.12,
5,long,TER,2020-01-07,2020-01-08,67.86,68.44,21,12.18,0.85,-33.2,1,12.18,
6,long,ULTA,2020-01-03,2020-01-09,250.85,262.86,5,60.05,4.79,26.85,4,15.01,
7,long,INMD,2020-01-03,2020-01-10,18.19,21.55,5,16.8,18.47,43.65,5,3.36,
8,long,RVLV,2020-01-03,2020-01-10,18.46,19.49,2,2.06,5.58,45.71,5,0.41,
9,long,STKS,2020-01-09,2020-01-10,3.44,3.8,430,154.8,10.47,200.51,1,154.8,
10,long,VALE,2020-01-10,2020-01-14,13.04,13.46,113,47.46,3.22,247.97,2,23.73,
11,long,INMD,2020-01-03,2020-01-14,18.19,21.44,4,13.0,17.87,260.97,7,1.86,
12,long,EXPD,2020-01-03,2020-01-16,77.34,80.22,18,51.84,3.72,312.81,9,5.76,
13,long,EXPD,2020-01-10,2020-01-16,77.26,80.22,1,2.96,3.83,315.77,4,0.74,
14,long,RVLV,2020-01-03,2020-01-16,18.46,20.67,4,8.84,11.97,324.61,9,0.98,
15,long,EXPI,2020-01-08,2020-01-16,5.15,5.44,7,2.03,5.63,326.64,6,0.34,
16,long,LSTR,2020-01-03,2020-01-16,112.65,118.15,12,66.0,4.88,392.64,9,7.33,
17,long,LSTR,2020-01-10,2020-01-16,113.8,118.15,1,4.35,3.82,396.99,4,1.09,
18,long,INMD,2020-01-03,2020-01-17,18.19,22.68,2,8.98,24.68,405.97,10,0.9,
19,long,AMAT,2020-01-14,2020-01-17,62.82,63.17,24,8.4,0.56,414.37,3,2.8,
20,long,TER,2020-01-16,2020-01-17,70.12,70.38,1,0.26,0.37,414.63,1,0.26,
21,long,VALE,2020-01-16,2020-01-21,13.19,13.36,114,19.38,1.29,434.01,2,9.69,
22,long,VALE,2020-01-17,2020-01-21,13.53,13.36,3,-0.51,-1.26,433.5,1,-0.51,
23,long,TER,2020-01-16,2020-01-21,70.12,71.12,21,21.0,1.43,454.5,2,10.5,
24,long,INMD,2020-01-03,2020-01-22,18.19,23.28,3,15.27,27.98,469.77,12,1.27,
25,long,ULTA,2020-01-21,2020-01-22,273.29,274.35,5,5.3,0.39,475.07,1,5.3,
26,long,VALE,2020-01-22,2020-01-23,13.41,13.2,117,-24.57,-1.57,450.5,1,-24.57,
27,long,EXPI,2020-01-08,2020-01-23,5.15,5.56,10,4.1,7.96,454.6,10,0.41,
28,long,INMD,2020-01-03,2020-01-24,18.19,24.95,55,371.8,37.16,826.4,14,26.56,
29,long,INMD,2020-01-07,2020-01-24,18.48,24.95,7,45.29,35.01,871.69,12,3.77,
30,long,INMD,2020-01-16,2020-01-24,21.88,24.95,4,12.28,14.03,883.97,5,2.46,
31,long,EXPI,2020-01-08,2020-01-24,5.15,5.75,259,155.4,11.65,1039.37,11,14.13,
32,long,EXPI,2020-01-09,2020-01-24,5.15,5.75,7,4.2,11.65,1043.57,10,0.42,
33,long,EXPI,2020-01-10,2020-01-24,5.11,5.75,6,3.84,12.52,1047.41,9,0.43,
34,long,EXPI,2020-01-14,2020-01-24,5.29,5.75,1,0.46,8.7,1047.87,7,0.07,
35,long,EXPI,2020-01-17,2020-01-24,5.41,5.75,2,0.68,6.28,1048.55,4,0.17,
36,long,EXPI,2020-01-21,2020-01-24,5.36,5.75,3,1.17,7.28,1049.72,3,0.39,
37,long,EXPI,2020-01-22,2020-01-24,5.51,5.75,2,0.48,4.36,1050.2,2,0.24,
38,long,ASML,2020-01-23,2020-01-30,294.33,292.62,5,-8.55,-0.58,1041.65,5,-1.71,
39,long,RVLV,2020-01-03,2020-01-30,18.46,17.75,3,-2.13,-3.85,1039.52,18,-0.12,
40,long,VALE,2020-01-24,2020-01-31,12.98,11.71,1,-1.27,-9.78,1038.25,5,-0.25,
41,long,AMAT,2020-01-30,2020-01-31,60.72,58.69,25,-50.75,-3.34,987.5,1,-50.75,
42,long,RVLV,2020-01-03,2020-02-03,18.46,17.59,1,-0.87,-4.71,986.63,20,-0.04,
43,long,SIMO,2020-01-31,2020-02-03,46.51,46.54,31,0.93,0.06,987.56,1,0.93,
44,long,VALE,2020-01-24,2020-02-04,12.98,12.28,2,-1.4,-5.39,986.16,7,-0.2,
45,long,ASML,2020-02-03,2020-02-04,286.09,296.75,5,53.3,3.73,1039.46,1,53.3,
46,long,VALE,2020-01-24,2020-02-07,12.98,12.09,1,-0.89,-6.86,1038.57,10,-0.09,
47,long,DMLP,2020-01-24,2020-02-07,17.51,16.6,1,-0.91,-5.2,1037.66,10,-0.09,
48,long,RVLV,2020-01-03,2020-02-07,18.46,18.56,2,0.2,0.54,1037.86,24,0.01,
49,long,META,2020-02-04,2020-02-07,207.9,211.38,7,24.36,1.67,1062.22,3,8.12,
50,long,INMD,2020-02-07,2020-02-10,21.01,21.88,70,60.9,4.14,1123.12,1,60.9,
