,0
2017-11-13,44.23443660394229
2017-11-14,46.64701385616392
2017-11-15,49.02489653177567
2017-11-16,46.143887424715444
2017-11-17,44.93480174839532
2017-11-20,43.17129944532596
2017-11-21,41.12391505694094
2017-11-22,40.45405771317494
2017-11-24,40.036027151519306
2017-11-27,41.03592359542172
2017-11-28,40.43088133717696
2017-11-29,42.17961979286325
2017-11-30,41.77532047392996
2017-12-01,44.27115740213404
2017-12-04,42.45035952437689
2017-12-05,42.0073595407293
2017-12-06,42.31606965126263
2017-12-07,41.01721965485576
2017-12-08,39.80725950803159
2017-12-11,39.381730370668535
2017-12-12,39.448108322623135
2017-12-13,38.75164490603701
2017-12-14,38.27515634344038
2017-12-15,37.043521976575896
2017-12-18,35.315326628114384
2017-12-19,35.236910837447795
2017-12-20,35.07712763544601
2017-12-21,34.27999399964942
2017-12-22,33.92418712435548
2017-12-26,33.37154584065632
2017-12-27,33.29208044119068
2017-12-28,33.009918912864585
2017-12-29,33.09300676928889
2018-01-02,31.721053830222772
2018-01-03,30.64786624470985
2018-01-04,31.159733335158318
2018-01-05,30.84837021021123
2018-01-08,30.11534004058166
2018-01-09,30.91291280683388
2018-01-10,30.129194886458162
2018-01-11,29.402881683811305
2018-01-12,29.288538513249918
2018-01-16,33.9431037323944
2018-01-17,33.348380282718644
2018-01-18,34.10956915333236
2018-01-19,34.06523329015652
2018-01-22,32.797292750788515
2018-01-23,35.186272599242244
2018-01-24,37.934128627335454
2018-01-25,39.55744607513614
2018-01-26,38.91127927497505
2018-01-29,42.11884285386735
2018-01-30,44.28206643643085
2018-01-31,43.21339065700961
2018-02-01,41.41926552233494
2018-02-02,46.437099873073144
2018-02-05,59.89116128843084
2018-02-06,59.370910599578686
2018-02-07,62.168447799946534
2018-02-08,67.62298609262164
2018-02-09,61.638469531071216
2018-02-12,58.33909630652766
2018-02-13,59.060540756689676
2018-02-14,56.92188724910857
2018-02-15,54.6699551384242
2018-02-16,54.82022266858218
2018-02-20,55.75291845681768
2018-02-21,56.7282420867525
2018-02-22,55.58581165745462
2018-02-23,52.24079315934102
2018-02-26,50.36883397422801
2018-02-27,53.25271911034003
2018-02-28,54.66122071248607
2018-03-01,57.122019690544725
2018-03-02,56.46572969131517
2018-03-05,54.63590374468832
2018-03-06,55.26913162184738
2018-03-07,55.573328704571324
2018-03-08,55.39769692883634
2018-03-09,51.00032454883736
2018-03-12,52.48372385363441
2018-03-13,53.2801535148809
2018-03-14,54.317904142269825
2018-03-15,52.79020919711669
2018-03-16,52.02390046685288
2018-03-19,53.57895060824117
2018-03-20,54.08772170837847
2018-03-21,53.321833695664424
2018-03-22,55.831889961549145
2018-03-23,57.69831913914221
2018-03-26,54.95274337946099
2018-03-27,57.82919718052126
2018-03-28,58.96442470233348
2018-03-29,56.2089602004989
2018-04-02,58.03534233542287
2018-04-03,56.7749217981021
2018-04-04,56.55982259825451
2018-04-05,55.938773295559585
2018-04-06,57.42514433034942
2018-04-09,57.567220950455955
2018-04-10,56.15767336378015
2018-04-11,57.37411171885197
2018-04-12,55.540695200630886
2018-04-13,54.1335589214993
2018-04-16,51.9614763394526
2018-04-17,50.58307818348524
2018-04-18,49.645830023035195
2018-04-19,49.75815605249419
2018-04-20,50.29830944787279
2018-04-23,50.21088735602671
2018-04-24,50.96838609467124
2018-04-25,51.80717169340701
2018-04-26,49.99238262617924
2018-04-27,49.72440841619601
2018-04-30,49.60320329865514
2018-05-01,48.780050492516345
2018-05-02,48.535284070147185
2018-05-03,49.34986829189986
2018-05-04,47.91852438606924
2018-05-07,47.76408450905547
2018-05-08,48.107165823686096
2018-05-09,46.539640341326674
2018-05-10,44.34623124602888
2018-05-11,43.85919176871008
2018-05-14,42.64416195126321
2018-05-15,44.831395102071234
2018-05-16,43.915325734941774
2018-05-17,43.26363447069663
2018-05-18,44.22330185601553
2018-05-21,42.76794456165657
2018-05-22,43.88214842824065
2018-05-23,43.1074821673396
2018-05-24,43.14560934522248
2018-05-25,43.05682464275516
2018-05-29,45.620008243425644
2018-05-30,45.95517115781869
2018-05-31,46.406876687748586
2018-06-01,44.80647127226041
2018-06-04,43.36466705387136
2018-06-05,42.616528918699345
2018-06-06,41.41470882867425
2018-06-07,42.14931541679743
2018-06-08,41.90976706399847
2018-06-11,42.20454725227877
2018-06-12,42.290366097550894
2018-06-13,42.290366097550894
2018-06-14,41.60796819396694
2018-06-15,42.290165905173374
2018-06-18,41.364934471187595
2018-06-19,43.05349933836073
2018-06-20,42.95064360454857
2018-06-21,44.62417001742181
2018-06-22,44.051040891887524
2018-06-25,48.85163025213058
2018-06-26,48.10887450654515
2018-06-27,50.31696843353416
2018-06-28,49.82106312954455
2018-06-29,49.13337900959103
2018-07-02,49.33262515519993
2018-07-03,50.212726094393346
2018-07-05,48.599152471551236
2018-07-06,46.82983994873327
2018-07-09,43.86749280094385
2018-07-10,43.11065787934995
2018-07-11,44.56083989902292
2018-07-12,43.26338491163247
2018-07-13,42.93462435058088
2018-07-16,43.11197102722547
2018-07-17,43.8723368934019
2018-07-18,44.007795547101566
2018-07-19,44.5114037746785
2018-07-20,44.743098127458474
2018-07-23,45.025619589804144
2018-07-24,44.36642076614466
2018-07-25,44.28818786749915
2018-07-26,44.12855528630109
2018-07-27,45.39029257091497
2018-07-30,46.77112443208587
2018-07-31,45.75406175126201
2018-08-01,44.919193270776276
2018-08-02,44.751686840144465
2018-08-03,44.58118627119539
2018-08-06,43.06655825071581
2018-08-07,42.00933655522594
2018-08-08,41.487059724131406
2018-08-09,42.27967904196087
2018-08-10,44.11001089308087
2018-08-13,46.934188164992
2018-08-14,45.0325051490255
2018-08-15,47.03352610721369
2018-08-16,45.29987308717139
2018-08-17,44.5199152585246
2018-08-20,43.469461240682605
2018-08-21,45.00509268458055
2018-08-22,44.63204092039663
2018-08-23,44.684294731421
2018-08-24,44.044810558563185
2018-08-27,44.694233931522284
2018-08-28,45.71734192055483
2018-08-29,45.933310878665594
2018-08-30,48.35671854511597
2018-08-31,46.67735547394408
2018-09-04,46.88756195056701
2018-09-05,46.99471855574578
2018-09-06,49.20208001885221
2018-09-07,50.06535940566172
2018-09-10,48.71672481889654
2018-09-11,47.07880593454143
2018-09-12,45.86925002201822
2018-09-13,44.47201358434066
2018-09-14,43.421743991302996
2018-09-17,44.81415128629537
2018-09-18,45.637458677881696
2018-09-19,44.72498288146205
2018-09-20,44.36110508013026
2018-09-21,44.36110508013026
2018-09-24,44.07817600874825
2018-09-25,44.85968327867456
2018-09-26,45.52043041930319
2018-09-27,44.37996978454393
2018-09-28,44.872688139030004
2018-10-01,44.17037537087076
2018-10-02,44.11978579315734
2018-10-03,44.38111437650533
2018-10-04,46.98749040559218
2018-10-05,48.43815091880419
2018-10-08,49.09300500092528
2018-10-09,49.62983033688972
2018-10-10,58.29937409829755
2018-10-11,61.51918370927258
2018-10-12,56.399190314634694
2018-10-15,57.480308674389214
2018-10-16,54.369229362649705
2018-10-17,55.352747009009704
2018-10-18,56.98819290683959
2018-10-19,57.063216193598485
2018-10-22,57.13989906903303
2018-10-23,58.43421248521176
2018-10-24,62.28247001773903
2018-10-25,59.944633031806006
2018-10-26,62.837157427054876
2018-10-29,63.3911067426727
2018-10-30,62.28846510803022
2018-10-31,60.331513248685184
2018-11-01,57.861098540884534
2018-11-02,58.421200666833904
2018-11-05,56.56152542793495
2018-11-06,54.731068168816144
2018-11-07,51.21012474078239
2018-11-08,50.40730760285347
2018-11-09,52.09455394760819
2018-11-12,55.09233659990819
2018-11-13,55.8332280987659
2018-11-14,57.157044495949584
2018-11-15,57.28210988247751
2018-11-16,54.62442288354282
2018-11-19,57.22367627118313
2018-11-20,59.325464606697565
2018-11-21,59.24366707764545
2018-11-23,58.9933990966399
2018-11-26,56.193472450046954
2018-11-27,55.25786405054287
2018-11-28,53.03158534093332
2018-11-29,54.092609198118005
2018-11-30,52.25808155954502
2018-12-03,49.568343211761665
2018-12-04,53.70426963734831
2018-12-06,54.45878735591679
2018-12-07,56.204491610658415
2018-12-10,56.31529927967023
2018-12-11,56.764075685626345
2018-12-12,56.65215146737119
2018-12-13,56.42394627026211
2018-12-14,57.67709146282741
2018-12-17,59.35007397476974
2018-12-18,59.64998403116325
2018-12-19,60.62511209679663
2018-12-20,61.238920636550056
2018-12-21,61.744202936607785
2018-12-24,61.851583390148924
2018-12-26,59.08742532239019
2018-12-27,60.345759371660776
2018-12-28,59.84235816299213
2018-12-31,58.87686271570865
2019-01-02,57.430682425399226
2019-01-03,60.02059002934388
2019-01-04,56.020031883067404
2019-01-07,55.06972293521136
2019-01-08,53.950543072885324
2019-01-09,53.199354209680884
2019-01-10,53.262920792018676
2019-01-11,52.17274556983771
2019-01-14,51.41717313639433
2019-01-15,49.59314380803423
2019-01-16,49.97815211992896
2019-01-17,50.190983730853844
2019-01-18,48.53197161020696
2019-01-22,50.564495261001085
2019-01-23,51.22304464383981
2019-01-24,49.240161949366026
2019-01-25,48.14779645380574
2019-01-28,49.30135654939787
2019-01-29,49.231147009213814
2019-01-30,47.90182681701461
2019-01-31,46.21768594466237
2019-02-01,45.52816217738723
2019-02-04,44.490780401942864
2019-02-05,43.630463137574665
2019-02-06,43.154974095116465
2019-02-07,44.11281878756648
2019-02-08,44.11281878756648
2019-02-11,43.808959434508594
2019-02-12,43.46774397886782
2019-02-13,42.8178613656865
2019-02-14,43.50183169539719
2019-02-15,42.80170788252709
2019-02-19,42.07250758668472
2019-02-20,41.48567929642618
2019-02-21,41.68197506728246
2019-02-22,40.59935756459534
2019-02-25,40.116729188895064
2019-02-26,40.88891535315563
2019-02-27,40.46081982255385
2019-02-28,40.2447456908152
2019-03-01,38.929820023387016
2019-03-04,40.59765059549525
2019-03-05,40.451446853449
2019-03-06,42.41873051189049
2019-03-07,44.45345256821813
2019-03-08,45.3935192796251
2019-03-11,42.44640609933066
2019-03-12,41.71541375325955
2019-03-13,41.17002407763074
2019-03-14,41.02332870490863
2019-03-15,40.688772280102675
2019-03-18,40.61327908413916
2019-03-19,41.88503459804763
2019-03-20,42.27093335396949
2019-03-21,41.94445920032716
2019-03-22,45.757827974289214
2019-03-25,46.56900269679793
2019-03-26,45.18295756284801
2019-03-27,46.55940296430064
2019-03-28,45.989142580365325
2019-03-29,44.195451774216366
2019-04-01,43.08741736225944
2019-04-02,43.57108993639417
2019-04-03,43.62568916320441
2019-04-04,43.45319993846018
2019-04-05,42.3372660243672
2019-04-08,41.828754535663776
2019-04-09,44.1232123058403
2019-04-10,43.59414243179981
2019-04-11,42.80450695105131
2019-04-12,42.3672341863115
2019-04-15,42.01506506773871
2019-04-16,43.51981079924215
2019-04-17,43.63982029927028
2019-04-18,43.262701536513596
2019-04-22,42.5091670008998
2019-04-23,43.39398523617974
2019-04-24,42.86237173916754
2019-04-25,44.87724274884846
2019-04-26,43.54830823735497
2019-04-29,44.79039942725689
2019-04-30,44.53912433258932
2019-05-01,46.68647243898628
2019-05-02,47.57862910870867
2019-05-03,44.955257593202866
2019-05-06,46.32417912340795
2019-05-07,53.40369323802523
2019-05-08,51.180108355345055
2019-05-09,51.32184752441316
2019-05-10,47.85445239984122
2019-05-13,53.8940636185404
2019-05-14,50.58472770750369
2019-05-15,49.51784410301289
2019-05-16,48.35124024154978
2019-05-17,48.82031891991334
2019-05-20,49.46226644879211
2019-05-21,48.30233727964391
2019-05-22,47.89094910444198
2019-05-23,50.36245853429423
2019-05-24,50.9485345058147
2019-05-28,51.15976087677492
2019-05-29,52.17368602602568
2019-05-30,51.53361317609361
2019-05-31,53.37733560002798
2019-06-03,53.501036660379654
2019-06-04,50.56558381414064
2019-06-05,49.392961108740394
2019-06-06,48.91893069442456
2019-06-07,49.19172610853911
2019-06-10,48.35305815662911
2019-06-11,49.10252828258786
2019-06-12,49.19704626238187
2019-06-13,49.24538097954961
2019-06-14,48.581698404920225
2019-06-17,47.87271438590391
2019-06-18,48.33668925886876
2019-06-19,47.707603807020796
2019-06-20,46.420649032453085
2019-06-21,48.7824160981768
2019-06-24,48.58716460354762
2019-06-25,50.122838844518036
2019-06-26,50.07170539386373
2019-06-27,49.450828020102854
2019-06-28,47.92700457235574
2019-07-01,45.57439249439017
2019-07-02,44.5222522316357
2019-07-03,44.02370892717147
2019-07-05,43.523857432473605
2019-07-08,45.98287924938117
2019-07-09,46.37273662809696
2019-07-10,45.55380556519716
2019-07-11,44.79026159107048
2019-07-12,44.64634782469305
2019-07-15,44.4024805415287
2019-07-16,46.21055705705049
2019-07-17,47.09290663273906
2019-07-18,47.4465870224308
2019-07-19,47.74513995256282
2019-07-22,48.22779698391726
2019-07-23,45.430315390274664
2019-07-24,44.02015290559845
2019-07-25,45.86664620425016
2019-07-26,45.30465542691483
2019-07-29,45.09857132062525
2019-07-30,45.73156126852402
2019-07-31,50.52861572135369
2019-08-01,51.65118271981813
2019-08-02,51.97055056192559
2019-08-05,56.84357702335816
2019-08-06,55.23422536736399
2019-08-07,54.443759632951895
2019-08-08,50.87034387243601
2019-08-09,53.130741678333905
2019-08-12,56.18875318560224
2019-08-13,52.57163498100501
2019-08-14,58.567445492488005
2019-08-15,56.77315802529952
2019-08-16,54.82943589256581
2019-08-19,52.32398636520378
2019-08-20,53.7684730831792
2019-08-21,52.70392300055137
2019-08-22,52.99759981258859
2019-08-23,57.65005908941547
2019-08-26,56.64985610756121
2019-08-27,57.34561372183226
2019-08-28,56.79318247200331
2019-08-29,54.67392608519237
2019-08-30,55.211695990157196
2019-09-03,57.321520104058344
2019-09-04,53.87746695050177
2019-09-05,52.59607722399523
2019-09-06,51.99917069837906
2019-09-09,51.21671828007388
2019-09-10,51.78367921900941
2019-09-11,51.59150306375246
2019-09-12,50.85591462532896
2019-09-13,50.58339274410538
2019-09-16,51.94179267037492
2019-09-17,52.71938793686819
2019-09-18,52.06113428896791
2019-09-19,51.28128186724146
2019-09-20,53.642827134732585
2019-09-23,53.75231777678188
2019-09-24,54.88169232668698
2019-09-25,54.05194803048132
2019-09-26,54.753559348094726
2019-09-27,55.41506833926019
2019-09-30,54.37326473554105
2019-10-01,56.031997343434206
2019-10-02,58.24618702752872
2019-10-03,57.13945911627039
2019-10-04,54.56944565750429
2019-10-07,54.43954468585187
2019-10-08,57.58098589878554
2019-10-09,56.397616867747836
2019-10-10,54.855928853304505
2019-10-11,52.6814059778459
2019-10-14,51.69010220492962
2019-10-15,50.749837229845305
2019-10-16,50.78809393389258
2019-10-17,49.91325855215313
2019-10-18,51.20630688557368
2019-10-21,49.69122692922541
2019-10-22,49.97089414109354
2019-10-23,49.8490911671414
2019-10-24,49.51895461312537
2019-10-25,48.24898314729757
2019-10-28,48.59790219493093
2019-10-29,49.2558527203071
2019-10-30,48.70173321264348
2019-10-31,49.46423699944745
2019-11-01,47.79271829467114
2019-11-04,47.33003554385565
2019-11-05,48.309865856609505
2019-11-06,49.141616368817445
2019-11-07,48.917363204793915
2019-11-08,48.19551260586677
2019-11-11,48.149964951833994
2019-11-12,48.01035673456034
2019-11-13,48.26676309415121
2019-11-14,47.59270115055458
2019-11-15,46.22133337249559
2019-11-18,46.49396647975277
2019-11-19,47.15344631967915
2019-11-20,48.50950031509458
2019-11-21,49.57124822988757
2019-11-22,48.69586442580958
2019-11-25,46.65774668419475
2019-11-26,45.700777489326164
2019-11-27,45.65275783507323
2019-11-29,46.74322002207303
2019-12-02,49.839969528988206
2019-12-03,51.21805312502444
2019-12-04,49.96652087474687
2019-12-05,49.65541081920711
2019-12-06,47.289777486289296
2019-12-09,48.98688902374247
2019-12-10,49.967880157807855
2019-12-11,48.023661286333834
2019-12-12,45.82004343470673
2019-12-13,43.59379208822525
2019-12-16,42.63562053783739
2019-12-17,43.792527654767355
2019-12-18,43.958134374512305
2019-12-19,42.878376376272094
2019-12-20,42.57802871794921
2019-12-23,43.1613802405626
2019-12-24,43.026881866355794
2019-12-26,42.75360302670975
2019-12-27,44.325218802613115
2019-12-30,47.02180470186189
2019-12-31,44.84162538780222
2020-01-02,42.763811107577475
2020-01-03,44.82797149757661
2020-01-06,44.42824055535815
2020-01-07,44.15900187583352
2020-01-08,43.30661761149053
2020-01-09,41.82488247621363
2020-01-10,41.27111718463939
2020-01-13,40.63443334206517
2020-01-14,40.46370810084943
2020-01-15,40.117945555718784
2020-01-16,38.718206283854464
2020-01-17,39.04867967953449
2020-01-21,39.04867967953448
2020-01-22,39.52893939352175
2020-01-23,40.08233629328483
2020-01-24,41.92213410329662
2020-01-27,46.42166660151907
2020-01-28,44.31850804870291
2020-01-29,44.85482484148947
2020-01-30,43.93846258421617
2020-01-31,48.00932300640219
2020-02-03,46.687054128730516
2020-02-04,43.416565625662194
2020-02-05,42.442457970878515
2020-02-06,42.23119023970342
2020-02-07,43.44387815117535
2020-02-10,43.09045070174965
2020-02-11,43.045553865207445
2020-02-12,42.05682334399571
2020-02-13,42.97282386508333
2020-02-14,42.833918936802135
2020-02-18,44.3707673351016
2020-02-19,44.12742373204313
2020-02-20,44.99377297621687
2020-02-21,46.86491133118674
2020-02-24,52.48044019873669
2020-02-25,56.313789227192665
2020-02-26,55.77092438255672
2020-02-27,60.53170967031309
2020-02-28,60.638568057395034
2020-03-02,58.84126894689812
2020-03-03,62.690628741092766
2020-03-04,61.01832878721558
2020-03-05,66.56421271221265
2020-03-06,70.55119133924542
2020-03-09,76.22192504627954
2020-03-10,71.36323354484509
2020-03-11,74.00391137094284
2020-03-12,77.2136012433958
2020-03-13,71.91229064206546
2020-03-16,77.72471390286151
2020-03-17,78.04108288981743
2020-03-18,82.39959146814167
2020-03-19,76.93896835790926
2020-03-20,77.14354901126093
