id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
263,long,RVLV,2020-03-11,2020-04-27,11.68,10.92,1,-0.76,-6.51,-1820.88,32,-0.02,
264,long,DMLP,2020-01-24,2020-04-27,17.51,11.12,2,-12.78,-36.49,-1833.66,64,-0.2,
265,long,EXPI,2020-04-13,2020-04-27,4.02,4.36,1,0.34,8.46,-1833.32,10,0.03,
266,long,MSB,2020-04-08,2020-04-27,13.41,13.84,2,0.86,3.21,-1832.46,12,0.07,
267,long,RVLV,2020-03-11,2020-04-28,11.68,11.17,2,-1.02,-4.37,-1833.48,33,-0.03,
268,long,INMD,2020-03-31,2020-04-28,10.39,12.0,3,4.83,15.5,-1828.65,19,0.25,
269,long,EXPI,2020-04-13,2020-04-28,4.02,4.46,264,116.16,10.95,-1712.49,11,10.56,
270,long,EXPI,2020-04-14,2020-04-28,4.12,4.46,9,3.06,8.25,-1709.43,10,0.31,
271,long,EXPI,2020-04-16,2020-04-28,3.9,4.46,1,0.56,14.36,-1708.87,8,0.07,
272,long,EXPI,2020-04-17,2020-04-28,4.01,4.46,4,1.8,11.22,-1707.07,7,0.26,
273,long,EXPI,2020-04-20,2020-04-28,4.03,4.46,1,0.43,10.67,-1706.64,6,0.07,
274,long,EXPI,2020-04-24,2020-04-28,4.2,4.46,1,0.26,6.19,-1706.38,2,0.13,
275,long,MSB,2020-04-08,2020-04-28,13.41,14.96,5,7.75,11.56,-1698.63,13,0.6,
276,long,DMLP,2020-01-24,2020-04-29,17.51,12.19,2,-10.64,-30.38,-1709.27,66,-0.16,
277,long,VALE,2020-04-09,2020-04-29,8.59,8.53,2,-0.12,-0.7,-1709.39,13,-0.01,
278,long,ULTA,2020-04-28,2020-04-29,216.14,226.84,5,53.5,4.95,-1655.89,1,53.5,
279,long,MSB,2020-04-08,2020-04-29,13.41,14.69,4,5.12,9.55,-1650.77,14,0.37,
280,long,STKS,2020-03-18,2020-04-30,1.25,1.74,24,11.76,39.2,-1639.01,30,0.39,
281,long,STKS,2020-03-19,2020-04-30,1.47,1.74,24,6.48,18.37,-1632.53,29,0.22,
282,long,STKS,2020-03-23,2020-04-30,0.93,1.74,49,39.69,87.1,-1592.84,27,1.47,
283,long,STKS,2020-03-24,2020-04-30,1.06,1.74,38,25.84,64.15,-1567.0,26,0.99,
284,long,INMD,2020-03-31,2020-04-30,10.39,13.46,1,3.07,29.55,-1563.93,21,0.15,
285,long,VALE,2020-04-09,2020-04-30,8.59,8.35,2,-0.48,-2.79,-1564.41,14,-0.03,
286,long,DMLP,2020-01-24,2020-05-01,17.51,11.32,3,-18.57,-35.35,-1582.98,68,-0.27,
287,long,STKS,2020-03-24,2020-05-01,1.06,1.72,33,21.78,62.26,-1561.2,27,0.81,
288,long,INMD,2020-03-31,2020-05-01,10.39,12.19,4,7.2,17.32,-1554.0,22,0.33,
289,long,VALE,2020-04-09,2020-05-04,8.59,7.88,6,-4.26,-8.27,-1558.26,16,-0.27,
290,long,MSB,2020-04-08,2020-05-04,13.41,13.82,1,0.41,3.06,-1557.85,17,0.02,
291,long,AMAT,2020-04-29,2020-05-05,53.03,49.64,1,-3.39,-6.39,-1561.24,4,-0.85,
292,long,DMLP,2020-01-24,2020-05-05,17.51,11.44,4,-24.28,-34.67,-1585.52,70,-0.35,
293,long,INMD,2020-03-31,2020-05-05,10.39,12.64,1,2.25,21.66,-1583.27,24,0.09,
294,long,MSB,2020-04-08,2020-05-05,13.41,14.38,4,3.88,7.23,-1579.39,18,0.22,
295,long,RVLV,2020-03-11,2020-05-06,11.68,10.25,3,-4.29,-12.24,-1583.68,39,-0.11,
296,long,INMD,2020-03-31,2020-05-06,10.39,12.61,6,13.32,21.37,-1570.36,25,0.53,
297,long,AMAT,2020-04-29,2020-05-07,53.03,51.35,1,-1.68,-3.17,-1572.04,6,-0.28,
298,long,VALE,2020-04-09,2020-05-07,8.59,7.99,3,-1.8,-6.98,-1573.84,19,-0.09,
299,long,AMAT,2020-04-29,2020-05-08,53.03,53.07,22,0.88,0.08,-1572.96,7,0.13,
300,long,AMAT,2020-05-01,2020-05-08,47.36,53.07,2,11.42,12.06,-1561.54,5,2.28,
301,long,RVLV,2020-03-11,2020-05-08,11.68,12.22,2,1.08,4.62,-1560.46,41,0.03,
302,long,DMLP,2020-01-24,2020-05-08,17.51,11.04,1,-6.47,-36.95,-1566.93,73,-0.09,
303,long,STKS,2020-03-24,2020-05-08,1.06,1.56,1,0.5,47.17,-1566.43,32,0.02,
304,long,VALE,2020-04-09,2020-05-08,8.59,8.36,1,-0.23,-2.68,-1566.66,20,-0.01,
305,long,RVLV,2020-03-11,2020-05-11,11.68,14.26,34,87.72,22.09,-1478.94,42,2.09,
306,long,RVLV,2020-03-12,2020-05-11,9.57,14.26,5,23.45,49.01,-1455.49,41,0.57,
307,long,RVLV,2020-03-13,2020-05-11,9.69,14.26,8,36.56,47.16,-1418.93,40,0.91,
308,long,RVLV,2020-03-16,2020-05-11,8.77,14.26,2,10.98,62.6,-1407.95,39,0.28,
309,long,RVLV,2020-03-19,2020-05-11,8.03,14.26,6,37.38,77.58,-1370.57,36,1.04,
310,long,RVLV,2020-03-20,2020-05-11,8.42,14.26,2,11.68,69.36,-1358.89,35,0.33,
311,long,RVLV,2020-03-23,2020-05-11,7.82,14.26,8,51.52,82.35,-1307.37,34,1.52,
312,long,RVLV,2020-03-26,2020-05-11,8.85,14.26,2,10.82,61.13,-1296.55,31,0.35,
313,long,RVLV,2020-03-27,2020-05-11,8.53,14.26,1,5.73,67.17,-1290.82,30,0.19,
314,long,RVLV,2020-03-30,2020-05-11,8.45,14.26,10,58.1,68.76,-1232.72,29,2.0,
315,long,RVLV,2020-04-01,2020-05-11,8.25,14.26,1,6.01,72.85,-1226.71,27,0.22,
316,long,RVLV,2020-04-06,2020-05-11,8.74,14.26,2,11.04,63.16,-1215.67,24,0.46,
